one,two,three,four,key
0.853,0.465,0.465,0.280,A
0.703,0.951,0.700,0.835,B
0.777,0.232,0.763,0.937,C
0.286,0.908,0.862,0.302,D
0.223,0.251,0.663,0.498,E
0.006,0.429,0.525,0.851,F
0.924,0.891,0.278,0.478,G
0.320,0.649,0.735,0.901,H
0.233,0.053,0.804,0.283,I
0.007,0.725,0.539,0.513,J
0.442,0.646,0.101,0.431,K
0.167,0.015,0.804,0.382,L
0.746,0.831,0.466,0.642,M
0.009,0.060,0.598,0.321,N
0.035,0.449,0.788,0.599,O
0.185,0.976,0.955,0.272,P
0.769,0.099,0.757,0.658,Q
0.063,0.087,0.706,0.924,R
0.497,0.659,0.192,0.691,S
0.442,0.449,0.219,0.062,T
0.938,0.347,0.187,0.507,U
0.503,0.171,0.923,0.617,V
0.166,0.170,0.478,0.598,W
0.895,0.258,0.145,0.824,X
0.971,0.919,0.643,0.140,Y
0.981,0.197,0.109,0.739,Z
0.168,0.901,0.462,0.841,A
0.799,0.509,0.466,0.985,B
0.447,0.252,0.228,0.468,C
0.360,0.628,0.331,0.018,D
0.326,0.639,0.252,0.455,E
0.091,0.278,0.276,0.576,F
0.701,0.205,0.422,0.308,G
0.634,0.637,0.785,0.910,H
0.196,0.906,0.185,0.922,I
0.990,0.980,0.241,0.171,J
0.407,0.227,0.837,0.618,K
0.350,0.914,0.299,0.265,L
0.243,0.767,0.082,0.807,M
0.943,0.261,0.194,0.484,N
0.489,0.916,0.311,0.379,O
0.409,0.036,0.284,0.877,P
0.335,0.047,0.410,0.877,Q
0.369,0.132,0.788,0.454,R
0.892,0.986,0.568,0.793,S
0.668,0.921,0.216,0.155,T
0.487,0.025,0.146,0.935,U
0.262,0.139,0.054,0.267,V
0.768,0.811,0.827,0.389,W
0.404,0.513,0.195,0.679,X
0.942,0.050,0.444,0.537,Y
0.787,0.532,0.781,0.721,Z
0.815,0.833,0.428,0.374,A
0.278,0.987,0.513,0.190,B
0.213,0.275,0.850,0.551,C
0.604,0.996,0.385,0.204,D
0.027,0.828,0.079,0.835,E
0.498,0.329,0.956,0.174,F
0.930,0.213,0.434,0.141,G
0.276,0.044,0.252,0.180,H
0.766,0.550,0.856,0.694,I
0.040,0.019,0.765,0.993,J
0.494,0.172,0.739,0.035,K
0.520,0.586,0.719,0.075,L
0.248,0.881,0.219,0.747,M
0.398,0.752,0.723,0.858,N
0.080,0.755,0.868,0.563,O
0.602,0.357,0.109,0.118,P
0.233,0.367,0.541,0.028,Q
0.544,0.319,0.771,0.457,R
0.913,0.379,0.384,0.246,S
0.789,0.516,0.834,0.488,T
0.578,0.490,0.484,0.391,U
0.035,0.021,0.115,0.827,V
0.544,0.293,0.776,0.716,W
0.638,0.973,0.687,0.992,X
0.085,0.161,0.791,0.541,Y
0.648,0.455,0.053,0.872,Z
0.715,0.960,0.866,0.229,A
0.398,0.399,0.924,0.497,B
0.707,0.241,0.637,0.237,C
0.385,0.884,0.940,0.809,D
0.130,0.597,0.581,0.208,E
0.515,0.446,0.247,0.726,F
0.913,0.749,0.110,0.668,G
0.964,0.312,0.465,0.750,H
0.268,0.634,0.232,0.813,I
0.329,0.433,0.821,0.776,J
0.988,0.358,0.299,0.412,K
0.979,0.858,0.514,0.898,L
0.153,0.473,0.104,0.675,M
0.372,0.819,0.685,0.039,N
0.879,0.222,0.804,0.622,O
0.027,0.196,0.540,0.628,P
0.401,0.394,0.330,0.321,Q
0.937,0.917,0.348,0.126,R
0.729,0.689,0.446,0.964,S
0.545,0.586,0.019,0.008,T
0.948,0.866,0.710,0.440,U
0.650,0.020,0.358,0.345,V
0.223,0.024,0.408,0.052,W
0.438,0.516,0.903,0.880,X
0.278,0.627,0.165,0.634,Y
0.957,0.974,0.856,0.403,Z
0.013,0.574,0.494,0.320,A
0.557,0.441,0.861,0.944,B
0.258,0.139,0.319,0.942,C
0.563,0.915,0.921,0.450,D
0.442,0.891,0.657,0.456,E
0.267,0.428,0.547,0.857,F
0.667,0.155,0.479,0.554,G
0.376,0.333,0.703,0.941,H
0.131,0.627,0.536,0.493,I
0.959,0.668,0.740,0.028,J
0.083,0.902,0.089,0.396,K
0.905,0.297,0.551,0.967,L
0.525,0.449,0.607,0.962,M
0.869,0.106,0.243,0.723,N
0.267,0.815,0.140,0.305,O
0.713,0.454,0.259,0.867,P
0.546,0.219,0.874,0.003,Q
0.378,0.456,0.205,0.544,R
0.161,0.486,0.381,0.880,S
0.424,0.207,0.876,0.797,T
0.190,0.347,0.962,0.684,U
0.245,0.376,0.278,0.531,V
0.604,0.773,0.426,0.975,W
0.770,0.117,0.480,0.754,X
0.828,0.866,0.517,0.628,Y
0.228,0.460,0.876,0.843,Z
0.848,0.803,0.438,0.296,A
0.158,0.792,0.381,0.623,B
0.125,0.565,0.887,0.103,C
0.333,0.458,0.255,0.974,D
0.806,0.845,0.818,0.811,E
0.158,0.746,0.320,0.128,F
0.881,0.793,0.064,0.063,G
0.718,0.763,0.312,0.194,H
0.655,0.492,0.402,0.617,I
0.765,0.259,0.432,0.112,J
0.444,0.875,0.100,0.292,K
0.664,0.245,0.871,0.201,L
0.682,0.520,0.556,0.226,M
0.030,0.186,0.898,0.691,N
0.072,0.792,0.140,0.854,O
0.166,0.631,0.310,0.789,P
0.888,0.973,0.035,0.834,Q
0.540,0.614,0.449,0.507,R
0.793,0.490,0.109,0.445,S
0.787,0.108,0.518,0.696,T
0.936,0.613,0.985,0.177,U
0.457,0.949,0.842,0.755,V
0.941,0.918,0.190,0.289,W
0.637,0.231,0.656,0.745,X
0.479,0.550,0.866,0.973,Y
0.439,0.596,0.779,0.425,Z
0.084,0.294,0.004,0.017,A
0.754,0.434,0.298,0.896,B
0.758,0.251,0.544,0.390,C
0.446,0.391,0.540,0.594,D
0.002,0.610,0.920,0.483,E
0.622,0.693,0.243,0.828,F
0.055,0.885,0.006,0.354,G
0.866,0.016,0.323,0.492,H
0.977,0.069,0.968,0.933,I
0.957,0.726,0.725,0.594,J
0.250,0.650,0.322,0.607,K
0.518,0.840,0.786,0.769,L
0.311,0.690,0.346,0.440,M
0.662,0.267,0.500,0.283,N
0.728,0.285,0.268,0.441,O
0.901,0.689,0.153,0.755,P
0.208,0.292,0.803,0.725,Q
0.737,0.081,0.114,0.708,R
0.560,0.617,0.664,0.230,S
0.838,0.615,0.287,0.084,T
0.374,0.510,0.090,0.200,U
0.173,0.871,0.395,0.941,V
0.387,0.064,0.807,0.924,W
0.815,0.259,0.202,0.713,X
0.213,0.646,0.325,0.370,Y
0.046,0.281,0.910,0.938,Z
0.476,0.372,0.644,0.596,A
0.801,0.454,0.545,0.375,B
0.006,0.927,0.673,0.932,C
0.509,0.616,0.806,0.188,D
0.896,0.316,0.969,0.973,E
0.028,0.243,0.466,0.271,F
0.501,0.750,0.733,0.793,G
0.429,0.979,0.628,0.385,H
0.778,0.979,0.354,0.274,I
0.178,0.451,0.696,0.461,J
0.956,0.776,0.875,0.985,K
0.770,0.851,0.128,0.603,L
0.763,0.303,0.287,0.411,M
0.496,0.766,0.386,0.766,N
0.455,0.207,0.274,0.761,O
0.190,0.349,0.228,0.569,P
0.872,0.347,0.621,0.397,Q
0.842,0.270,0.862,0.052,R
0.594,0.975,0.466,0.838,S
0.998,0.083,0.746,0.257,T
0.771,0.453,0.759,0.132,U
0.402,0.236,0.325,0.543,V
0.437,0.674,0.399,0.183,W
0.461,0.501,0.823,0.811,X
0.898,0.421,0.638,0.699,Y
0.965,0.750,0.878,0.889,Z
0.686,0.721,0.643,0.645,A
0.858,0.946,0.294,0.618,B
0.334,0.161,0.855,0.001,C
0.947,0.060,0.204,0.765,D
0.405,0.531,0.347,0.143,E
0.383,0.261,0.078,0.360,F
0.626,0.732,0.382,0.849,G
0.596,0.595,0.648,0.110,H
0.653,0.336,0.183,0.434,I
0.854,0.278,0.783,0.429,J
0.611,0.672,0.223,0.856,K
0.138,0.160,0.060,0.395,L
0.060,0.457,0.495,0.045,M
0.815,0.263,0.044,0.304,N
0.960,0.225,0.732,0.262,O
0.850,0.734,0.294,0.884,P
0.418,0.800,0.934,0.912,Q
0.107,0.932,0.864,0.562,R
0.559,0.500,0.653,0.427,S
0.177,0.793,0.488,0.877,T
0.169,0.938,0.050,0.991,U
0.643,0.356,0.536,0.224,V
0.799,0.714,0.589,0.661,W
0.875,0.618,0.611,0.345,X
0.895,0.536,0.142,0.587,Y
0.489,0.497,0.843,0.012,Z
0.090,0.499,0.947,0.792,A
0.993,0.849,0.497,0.927,B
0.297,0.098,0.847,0.304,C
0.012,0.167,0.481,0.862,D
0.732,0.530,0.775,0.451,E
0.102,0.582,0.721,0.211,F
0.560,0.731,0.953,0.553,G
0.562,0.872,0.181,0.244,H
0.696,0.324,0.843,0.722,I
0.577,0.127,0.194,0.720,J
0.674,0.428,0.986,0.194,K
0.074,0.307,0.226,0.437,L
0.729,0.786,0.697,0.891,M
0.228,0.512,0.479,0.367,N
0.570,0.865,0.371,0.573,O
0.863,0.610,0.779,0.252,P
0.333,0.846,0.549,0.864,Q
0.797,0.968,0.941,0.854,R
0.647,0.861,0.058,0.002,S
0.243,0.976,0.145,0.163,T
0.505,0.627,0.825,0.110,U
0.784,0.211,0.251,0.530,V
0.992,0.140,0.033,0.737,W
0.511,0.453,0.707,0.493,X
0.059,0.385,0.136,0.174,Y
0.252,0.812,0.305,0.261,Z
0.992,0.101,0.798,0.820,A
0.798,0.524,0.761,0.745,B
0.329,0.327,0.965,0.954,C
0.869,0.050,0.989,0.823,D
0.329,0.640,0.168,0.851,E
0.534,0.728,0.432,0.351,F
0.157,0.060,0.279,0.258,G
0.315,0.801,0.744,0.679,H
0.285,0.290,0.231,0.172,I
0.354,0.136,0.625,0.871,J
0.590,0.215,0.840,0.235,K
0.404,0.322,0.317,0.302,L
0.381,0.723,0.669,0.526,M
0.850,0.515,0.772,0.071,N
0.960,0.300,0.986,0.293,O
0.017,0.821,0.623,0.818,P
0.340,0.357,0.329,0.666,Q
0.768,0.069,0.454,0.687,R
0.686,0.528,0.300,0.698,S
0.154,0.964,0.510,0.665,T
0.561,0.860,0.882,0.392,U
0.888,0.894,0.534,0.164,V
0.904,0.117,0.516,0.948,W
0.122,0.407,0.157,0.565,X
0.700,0.377,0.968,0.003,Y
0.408,0.992,0.382,0.100,Z
0.776,0.420,0.213,0.974,A
0.353,0.490,0.201,0.546,B
0.699,0.393,0.974,0.368,C
0.752,0.814,0.224,0.426,D
0.256,0.393,0.168,0.410,E
0.871,0.098,0.909,0.368,F
0.431,0.925,0.991,0.606,G
0.883,0.893,0.438,0.846,H
0.544,0.700,0.464,0.429,I
0.743,0.389,0.805,0.578,J
0.958,0.771,0.571,0.980,K
0.332,0.926,0.370,0.568,L
0.797,0.529,0.585,0.997,M
0.309,0.131,0.586,0.314,N
0.646,0.218,0.800,0.744,O
0.978,0.626,0.058,0.551,P
0.239,0.936,0.997,0.411,Q
0.616,0.978,0.220,0.905,R
0.689,0.408,0.374,0.733,S
0.360,0.105,0.907,0.305,T
0.278,0.637,0.802,0.316,U
0.362,0.279,0.122,0.110,V
0.242,0.508,0.733,0.224,W
0.465,0.054,0.196,0.734,X
0.020,0.568,0.810,0.933,Y
1.000,0.803,0.035,0.524,Z
0.961,0.162,0.201,0.661,A
0.415,0.829,0.276,0.112,B
0.126,0.392,0.943,0.183,C
0.864,0.204,0.826,0.335,D
0.592,0.750,0.738,0.665,E
0.567,0.404,0.523,0.133,F
0.915,0.081,0.591,0.728,G
0.192,0.745,0.121,0.040,H
0.492,0.957,0.373,0.757,I
0.349,0.730,0.581,0.010,J
0.153,0.087,0.268,0.798,K
0.921,0.766,0.649,0.238,L
0.535,0.638,0.396,0.592,M
0.484,0.762,0.513,0.260,N
0.147,0.538,0.353,0.691,O
0.490,0.192,0.870,0.282,P
0.149,0.311,0.635,0.731,Q
0.174,0.305,0.699,0.838,R
0.204,0.875,0.236,0.955,S
0.385,0.651,0.741,0.725,T
0.291,0.623,0.889,0.789,U
0.336,0.687,0.003,0.138,V
0.234,0.443,0.145,0.431,W
0.270,0.584,0.405,0.734,X
0.118,0.487,0.710,0.027,Y
0.191,0.681,0.770,0.175,Z
0.376,0.021,0.022,0.362,A
0.691,0.108,0.568,0.164,B
0.275,0.099,0.662,0.853,C
0.759,0.861,0.622,0.487,D
0.539,0.918,0.657,0.070,E
0.157,0.071,0.193,0.819,F
0.089,0.900,0.477,0.550,G
0.877,0.129,0.014,0.127,H
0.191,0.642,0.845,0.666,I
0.224,0.612,0.863,0.542,J
0.605,0.048,0.468,0.912,K
0.212,0.088,0.359,0.195,L
0.845,0.212,0.619,0.627,M
0.977,0.558,0.059,0.083,N
0.739,0.798,0.879,0.515,O
0.610,0.986,0.895,0.756,P
0.647,0.646,0.205,0.627,Q
0.856,0.316,0.355,0.909,R
0.248,0.308,0.164,0.108,S
0.170,0.485,0.170,0.297,T
0.790,0.512,0.324,0.505,U
0.825,0.960,0.116,0.163,V
0.561,0.574,0.967,0.182,W
0.594,0.211,0.370,0.215,X
0.555,0.132,0.097,0.970,Y
0.784,0.089,0.848,0.244,Z
0.421,0.870,0.471,0.040,A
0.089,0.410,0.794,0.698,B
0.237,0.051,0.902,0.248,C
0.261,0.798,0.229,0.854,D
0.654,0.959,0.093,0.789,E
0.056,0.754,0.304,0.949,F
0.195,0.140,0.139,0.423,G
0.409,0.561,0.092,0.960,H
0.811,0.284,0.304,0.754,I
0.782,0.455,0.060,0.629,J
0.042,0.000,0.130,0.118,K
0.806,0.337,0.414,0.741,L
0.583,0.559,0.137,0.333,M
0.107,0.129,0.581,0.900,N
0.621,0.167,0.201,0.657,O
0.169,0.060,0.475,0.975,P
0.954,0.622,0.856,0.749,Q
0.010,0.862,0.065,0.661,R
0.423,0.106,0.077,0.725,S
0.050,0.807,0.927,0.454,T
0.884,0.055,0.723,0.424,U
0.085,0.475,0.156,0.822,V
0.605,0.412,0.105,0.072,W
0.151,0.374,0.353,0.230,X
0.510,0.340,0.086,0.069,Y
0.414,0.634,0.721,0.838,Z
0.703,0.541,0.279,0.094,A
0.888,0.114,0.000,0.457,B
0.478,0.209,0.625,0.961,C
0.754,0.127,0.390,0.308,D
0.543,0.289,0.289,0.116,E
0.200,0.003,0.918,0.268,F
0.417,0.840,0.871,0.788,G
0.884,0.807,0.602,0.590,H
0.758,0.872,0.038,0.468,I
0.428,0.742,0.048,0.653,J
0.889,0.342,0.295,0.187,K
0.435,0.634,0.942,0.439,L
0.649,0.876,0.095,0.355,M
0.852,0.475,0.239,0.703,N
0.635,0.664,0.462,0.471,O
0.990,0.240,0.568,0.673,P
0.427,0.914,0.874,0.508,Q
0.978,0.205,0.933,0.425,R
0.637,0.340,0.408,0.805,S
0.605,0.473,0.454,0.214,T
0.526,0.708,0.974,0.193,U
0.454,0.986,0.717,0.833,V
0.747,0.403,0.277,0.498,W
0.342,0.463,0.916,0.516,X
0.680,0.428,0.777,0.216,Y
0.486,0.442,0.365,0.317,Z
0.283,0.186,0.474,0.331,A
0.815,0.649,0.715,0.831,B
0.031,0.499,0.570,0.107,C
0.346,0.279,0.842,0.074,D
0.451,0.108,0.028,0.856,E
0.062,0.095,0.102,0.607,F
0.310,0.588,0.780,0.140,G
0.189,0.441,0.413,0.067,H
0.345,0.335,0.082,0.428,I
0.375,0.048,0.768,0.146,J
0.250,0.632,0.306,0.352,K
0.323,0.144,0.731,0.049,L
0.488,0.428,0.376,0.875,M
0.003,0.284,0.106,0.022,N
0.389,0.781,0.350,0.342,O
0.088,0.838,0.073,0.598,P
0.601,0.689,0.782,0.586,Q
0.771,0.582,0.679,0.658,R
0.074,0.126,0.663,0.276,S
0.716,0.424,0.294,0.740,T
0.223,0.085,0.016,0.941,U
0.361,0.799,0.885,0.086,V
0.079,0.061,0.182,0.962,W
0.134,0.350,0.268,0.520,X
0.942,0.938,0.041,0.479,Y
0.789,0.098,0.381,0.800,Z
0.576,0.009,0.745,0.072,A
0.118,0.847,0.966,0.523,B
0.639,0.551,0.247,0.355,C
0.582,0.306,0.557,0.231,D
0.267,0.765,0.751,0.448,E
0.096,0.174,0.120,0.039,F
0.683,0.285,0.421,0.534,G
0.618,0.884,0.144,0.438,H
0.807,0.201,0.469,0.301,I
0.769,0.436,0.852,0.606,J
0.177,0.236,0.383,0.885,K
0.019,0.090,0.451,0.224,L
0.483,0.751,0.316,0.858,M
0.473,0.941,0.364,0.347,N
0.389,0.932,0.462,0.164,O
0.360,0.474,0.517,0.485,P
0.824,0.032,0.700,0.045,Q
0.232,0.505,0.597,0.343,R
0.288,0.473,0.047,0.714,S
0.733,0.475,0.647,0.772,T
0.620,0.593,0.531,0.737,U
0.414,0.911,0.972,0.657,V
0.208,0.968,0.819,0.870,W
0.962,0.947,0.536,0.065,X
0.313,0.200,0.958,0.903,Y
0.722,0.410,0.136,0.399,Z
0.924,0.086,0.011,0.952,A
0.759,0.750,0.021,0.818,B
0.796,0.227,0.673,0.125,C
0.802,0.376,0.583,0.377,D
0.048,0.527,0.276,0.635,E
0.877,0.455,0.722,0.926,F
0.006,0.731,0.905,0.038,G
0.693,0.984,0.634,0.677,H
0.504,0.276,0.337,0.646,I
0.419,0.944,0.716,0.800,J
0.873,0.599,0.278,0.822,K
0.925,0.504,0.804,0.575,L
0.370,0.175,0.932,0.216,M
0.020,0.577,0.644,0.065,N
0.998,0.613,0.437,0.193,O
0.166,0.219,0.102,0.274,P
0.191,0.269,0.929,0.578,Q
0.211,0.121,0.078,0.115,R
0.925,0.789,0.373,0.034,S
0.615,0.839,0.861,0.270,T
0.911,0.253,0.712,0.357,U
0.345,0.667,0.901,0.078,V
0.793,0.555,0.766,0.968,W
0.053,0.470,0.365,0.845,X
0.183,0.674,0.254,0.098,Y
0.838,0.547,0.088,0.614,Z
0.892,0.363,0.902,0.964,A
0.746,0.732,0.775,0.216,B
0.803,0.149,0.370,0.111,C
0.201,0.139,0.875,0.483,D
0.153,0.117,0.480,0.913,E
